Region,District,Address,Start Date,Start Time,End Date,End Time,Type of Work,RES,Other
Санкт-Петербург,Санкт-Петербург                        Приморский район,"пр. Комендантский д. 30 к. 1, пр. Комендантский д. 30 к. 3, ул. Долгоозерная д. 11 к. 2 (Д/С № 969), ул. Долгоозерная д. 11, ул. Долгоозерная д. 11 к. 3, ленсвет",09-04-2024 10:00,10:00,09-04-2024 20:00,20:00,Кабельная сеть,Западный РЭС,,022bbf6a-b271-4b20-9020-51c79c9164d6
Ленинградская область,р-н Тихвинский,д Заручевье  д Рапля,09-04-2024 10:00,10:00,27-03-2024 16:00,16:00,Тихвинские ЭС,Тихвинский РЭС,,bba83683-bec9-4773-9610-b86c7fbaed9b6eead17e-6e0f-494a-9588-686f8dd63324
Санкт-Петербург,Санкт-Петербург                        Приморский район,"пр. Королева д. 73, ул. Глухарская д. 33 к. 1 лит. А",09-04-2024 10:00,10:00,09-04-2024 17:00,17:00,Кабельная сеть,Западный РЭС,,b4875351-3a3f-4641-8ef1-793810919685
Санкт-Петербург,Невский район,"ул Белышева, дом 5/6, стр А",09-04-2024 10:00,10:00,09-04-2024 17:00,17:00,Кабельная сеть,Правобережный РЭС,по одному вводу,b809fe93-71e2-4166-aa0f-08fdbc885f59
Ленинградская область,р-н Тосненский,д Пельгора,09-04-2024 10:00,10:00,09-04-2024 18:00,18:00,Гатчинские ЭС,Тосненский РЭС,Капитальный ремонт ТП,22d24192-c46a-48e7-bfbb-556456bf2b4f
Ленинградская область,р-н Тихвинский,д Овинцево  д Печнева,09-04-2024 10:00,10:00,09-04-2024 17:00,17:00,Тихвинские ЭС,Тихвинский РЭС,,ec510dd2-3906-49ad-8b72-9b2ee58059ccba96259a-b16e-48ac-9675-e936f5f259fc
Ленинградская область,р-н Тихвинский,д Ситомля  д Струнино  д Харчевня  д Ругуй,09-04-2024 10:00,10:00,09-04-2024 11:30,11:30,Тихвинские ЭС,Тихвинский РЭС,,bc3882e3-7d5c-4259-9cb9-93da9263efbb142814bb-188e-403f-a491-7c9adddc6d86ccf62bf4-39b3-4cc6-a86e-fa970431650bafaf6d79-909b-4d77-8f10-c65f2a84da5b
Ленинградская область,р-н Ломоносовский,д Михайловка,09-04-2024 10:00,10:00,09-04-2024 18:00,18:00,Южные электрические сети,Красносельский РЭС,ВЛ-10кВ Ф.153-26 ОЛ-2263,f3821f94-1208-42b7-9431-ccbe88f503bb
Санкт-Петербург,Санкт-Петербург                        Кировский район,"пр.Народного Ополчения,д.35  пр.Народного Ополчения,д.39  пр.Народного Ополчения,д.41  пр.Народного Ополчения,д.43  пр.Народного Ополчения,д.45  пр.Народного Ополчения,д.47  пр.Народного Ополчения,д.49  пр.Народного Ополчения,д.51  пр.Народного Ополчения,д.53  пр.Народного Ополчения,д.55  пр.Народного Ополчения,д.57  пр.Народного Ополчения,д.59",09-04-2024 10:00,10:00,09-04-2024 18:00,18:00,Кабельная сеть,Юго-Западный РЭС,,e7deb6a4-0b8d-4f55-889b-c35bcd77f211bec74480-81a6-44e8-80dd-b1721270c60af74c5848-bd83-44ff-8c94-9fa112d3e2c532cbd5c4-6984-403c-9d68-12f43170e2f3e046d198-549e-4c36-9cd8-1599fa1c86b8db2df72c-3439-4673-b557-458968ba753508db9713-5f4a-4927-b2c9-e5bc75f4fdbd33d0a27b-9d26-4c34-93dd-803ef51ec3abe728ce88-a311-4a97-a058-cc11b274fd10b83c461a-e8c2-458f-a1a5-a67812dde98e3145760e-d2f3-4534-b794-23f27e9f7c2366d83968-b552-4aa2-b08b-78946ec0fcf5
Санкт-Петербург,Санкт-Петербург                        Приморский район,"ул. Камышовая д. 6 к. 1, ул. Камышовая д. 6 к. 2, ул. Камышовая д. 6 к. 4, ул. Стародеревенская д. 25, ул. Стародеревенская д. 25 лит. А",09-04-2024 10:00,10:00,09-04-2024 13:00,13:00,Кабельная сеть,Западный РЭС,,c8946f43-1c67-4fac-a4ac-bd59017c0261
Санкт-Петербург,Санкт-Петербург                        Приморский район,ул. Савушкина д. 10 к. 2,09-04-2024 10:00,10:00,09-04-2024 19:00,19:00,Кабельная сеть,Западный РЭС,,db9b9b28-8499-4728-88ef-f6658676778f
Санкт-Петербург,Санкт-Петербург,"пр-кт Литейный, дом 14  пр-кт Литейный, дом 16, стр А  ул Фурштатская, дом 5, стр А",09-04-2024 10:00,10:00,09-04-2024 18:00,18:00,Кабельная сеть,Центральный РЭС,,c8c87209-bfb2-4653-b286-bb6e6a96ec72b357594a-7b8a-4b25-bde2-4880e9ed57ec14c5647e-e6fe-41f5-8403-cd57f49999e9
Ленинградская область,р-н Всеволожский,п Ковалево,09-04-2024 10:00,10:00,09-04-2024 17:00,17:00,Северные электрические сети,Всеволожский РЭС,,e5c62df7-a3cb-457e-872c-995db0a25e44
Ленинградская область,р-н Кингисеппский,д Сашино  д Систа  д Унатицы,09-04-2024 10:00,10:00,09-04-2024 17:00,17:00,Кингисеппские ЭС,Кингисеппский РЭС,,ab252a14-8ab5-4c41-af7b-28f59848d3a02a267641-e87b-4b60-b63d-dc54bba65b3002532ed4-988a-4703-aaaf-1789475bc131
Ленинградская область,р-н Кингисеппский,"д Вистино, ул Лесная  д Вистино, ул Солнечная  д Вистино, ул Якорная",09-04-2024 10:00,10:00,09-04-2024 17:00,17:00,Кингисеппские ЭС,Кингисеппский РЭС,,4c765810-0112-4d5d-9e9f-60ae596ad455b6a80ea8-3abc-486c-89df-5bdbc9aceacbb5ce438c-cd52-46a5-925d-190652f69c3b
Ленинградская область,р-н Тосненский,"д Андрианово  д Турово, дом 135  д Авати, дом 1",09-04-2024 10:00,10:00,09-04-2024 18:00,18:00,Гатчинские ЭС,Тосненский РЭС,Капитальный ремонт ТП-4172,8b7e6d03-2772-494d-8048-5af51dd803f7cc9c8863-ca65-49ac-95d7-47baf336e8fe98d3c3f0-3319-4a95-82bc-7f0b408298e2
Ленинградская область,р-н Гатчинский,"д Красницы, ул Заречная  д Красницы, ул Лесная",09-04-2024 10:00,10:00,09-04-2024 17:10,17:10,,,Кап.ремонт .,8d040246-a2d8-421c-8483-14d32bccfb6f941713d5-36fb-4d87-8f77-1277befeec25
Ленинградская область,р-н Тосненский,"д Трубников Бор, ш Московское",09-04-2024 10:00,10:00,09-04-2024 18:00,18:00,Гатчинские ЭС,Тосненский РЭС,"Реконструкция ВЛ-0,4",55fed04b-b118-4d7b-a3b5-438e0c76d8f4
Ленинградская область,р-н Гатчинский,д Введенское,09-04-2024 10:00,10:00,09-04-2024 18:00,18:00,Гатчинские ЭС,Тосненский РЭС,Реконструкция ВЛ,7906d1fb-5089-4acb-86fe-2b25c4163c3b
Ленинградская область,"р-н Всеволожский, массив Пери","п Осельки  д Нижние Осельки  д Верхние Осельки  тер. СНТ Медик  тер. СНТ Пери-1, пр-кт Малый  тер. СНТ Садовое  тер. СНТ Тройка  тер. СНТ Электроника  тер. СНТ Метростроевец  Киссолово  снт Никольское  снт Скиф  снт Осельки",09-04-2024 09:00,09:00,09-04-2024 17:00,17:00,Северные электрические сети,Сертоловский РЭС,,9f77ad40-8b3e-46ad-9a5b-eec42c9df158ac2871fa-4cae-4610-a5dd-5bc4b7642307d3afa3a0-5c71-4ee6-afa9-b5e2902c26269b6312ce-7d8f-412e-8946-c1394842a7594877db41-f5ed-41bd-9a14-c25df83ea35ab3376776-6a62-4f94-a572-c9b9573ddf26443490e1-9c0c-4ca9-979f-822442da0d21340e82ac-b620-4586-9142-73162f142bd9711206f5-5964-4a1d-9fc7-20d024a373dcfa525e6d-7609-44e8-aa60-148c1ad240d7fa525e6d-7609-44e8-aa60-148c1ad240d7fa525e6d-7609-44e8-aa60-148c1ad240d7fa525e6d-7609-44e8-aa60-148c1ad240d7
